PMID|PaperTitle|Authors|PublicationDate|Abstract|Keywords
37408045|Initial insights into the impact and implementation of Creating Active Schools in Bradford, UK.|Morris, Jade L; Chalkley, Anna E; Helme, Zoe E; Timms, Oliver; Young, Emma; McLoughlin, Gabriella M; Bartholomew, John B; Daly-Smith, Andy; |2023 07 05|Few whole-school physical activity programmes integrate implementation science frameworks within the design, delivery, and evaluation. As a result, knowledge of the key factors that support implementation at scale is lacking. The Creating Active Schools (CAS) programme was co-designed and is underpinned by the Capability, Opportunity, Motivation and Behaviour (COM-B) model and the Consolidated Framework for Implementation Research (CFIR). The study aims to understand the initial impact and implementation of CAS in Bradford over 9 months using McKay's et al.'s (2019) implementation evaluation roadmap.|Children; Creating Active Schools; Implementation determinants; Implementation outcomes; Implementation science; Physical activity promotion; Whole-school physical activity; 
37403745|Stages of change: Strategies to promote use of a Pediatric Early Warning System in resource-limited pediatric oncology centers.|Woo, Marisa Cristin; Ferrara, Gia; Puerto-Torres, Maria; Gillipelli, Srinithya R; Elish, Paul; Muniz-Talavera, Hilmarie; Gonzalez-Ruiz, Alejandra; Armenta, Miriam; Barra, Camila; Diaz-Coronado, Rosdali; Hernandez, Cinthia; Juarez, Susana; Loeza, José de Jesús; Mendez, Alejandra; Montalvo, Erika; Peñafiel, Eulalia; Pineda, Estuardo; Graetz, Dylan E; Kortz, Teresa; Agulnik, Asya; |2023 07 05|"Pediatric Early Warning Systems (PEWS) assist early detection of clinical deterioration in hospitalized children with cancer. Relevant to successful PEWS implementation, the ""stages of change"" model characterizes stakeholder support for PEWS based on willingness and effort to adopt the new practice."|Pediatric Early Warning Systems; behavioral science; clinical cancer research; clinical management; implementation science; pediatric cancer; resource-limited; stages of change; transtheoretical model; 
37395151|Impact of performance status on efficacy of systemic therapy for prostate cancer: a meta-analysis.|Yanagisawa, Takafumi; Kawada, Tatsushi; Mori, Keiichiro; Shim, Sung Ryul; Mostafaei, Hadi; Sari Motlagh, Reza; Quhal, Fahad; Laukhtina, Ekaterina; von Deimling, Markus; Bianchi, Alberto; Majdoub, Muhammad; Pallauf, Maximilian; Pradere, Benjamin; Kimura, Takahiro; Shariat, Shahrokh F; Rajwa, Pawel; |2023 07 03|To evaluate the efficacy of systemic therapies in patients with worse performance status (PS) treated for high-risk non-metastatic prostate cancer (PCa), metastatic hormone-sensitive PCa (mHSPC), and non-metastatic/metastatic castration-resistant PCa (nmCRPC/mCRPC), as there is sparse pooled data showing the effect of PS on oncological outcomes in patients with PCa.|Eastern Cooperative Oncology Group; metastatic castration-resistant prostate cancer; metastatic hormone-sensitive prostate cancer; non-metastatic castration-resistant prostate cancer; performance status; 
37355415|Adult Cardiac Surgery-Associated Acute Kidney Injury: Joint Consensus Report.|Brown, Jessica K; Shaw, Andrew D; Mythen, Monty G; Guzzi, Lou; Reddy, V Seenu; Crisafi, Cheryl; Engelman, Daniel T; Engelman, Daniel T; |2023 05 23|Acute kidney injury (AKI) is increasingly recognized as a source of poor patient outcomes after cardiac surgery. The purpose of the present report is to provide perioperative teams with expert recommendations specific to cardiac surgery-associated AKI (CSA-AKI).|acute kidney injury; cardiac surgery; expert consensus; goal-directed therapy; perioperative care; 
37347252|Comparison between different neoadjuvant chemotherapy regimens and local therapy alone for bladder cancer: a systematic review and network meta-analysis of oncologic outcomes.|Aydh, Abdulmajeed; Sari Motlagh, Reza; Alamri, Abdulaziz; Yanagisawa, Takafumi; Ayed, Adil; Rajwa, Pawel; Laukhtina, Ekaterina; Alasiri, Saeed M; Kawada, Tatsushi; Mostafai, Hadi; Ayidh, Abdulelah; Pallauf, Maximilian; König, Frederik; Abufaraj, Mohammad; Karakiewicz, Pierre I; Shariat, Shahrokh F; |2023 06 22|The present systematic review and network meta-analysis (NMA) compared the current different neoadjuvant chemotherapy (NAC) regimes for bladder cancer patients to rank them.|Bladder cancer; Chemotherapy; Cisplatin; Neoadjuvant; Radical cystectomy; 
37347047|Behavioral health care provider's beliefs, confidence, and knowledge in treating cigarette smoking in relation to their use of the 5A's intervention.|Jafry, Midhat Z; Martinez, Jayda; Chen, Tzuan A; Britton, Maggie; Martinez Leal, Isabel; Rogova, Anastasia; Kyburz, Bryce; Williams, Teresa; Patel, Mayuri; Carter, Brian J; Reitzel, Lorraine R; |2023 05 11|Evidence-based smoking cessation interventions are underused settings where behavioral health treatment is provided, contributing to smoking-related health disparities in this patient group. This study assessed the relationship of provider's beliefs about patients' smoking, perceptions of treatment capability, and knowledge of referral options and their use of the 5A's (Ask, Advise, Assess, Assist, and Arrange) intervention for smoking cessation.|5A’s intervention; Mental health disorders; Provider confidence; Provider knowledge; Smoking cessation; Substance use disorder; 
37267038|The Electronic Surviving Cancer Competently Intervention Program-a Psychosocial Digital Health Intervention for English- and Spanish-Speaking Parents of Children With Cancer: Protocol for Randomized Controlled Trial.|Canter, Kimberly S; Ritterband, Lee; Freyer, David R; Askins, Martha A; Bava, Laura; Loucas, Caitlyn; Arasteh, Kamyar; You, Wen; Kazak, Anne E; |2023 06 02|The psychosocial needs and risks of children with cancer and their families are well-documented including increased risk of parental distress, posttraumatic stress, and anxiety. There is a critical need to provide evidence-based psychosocial care to parents and caregivers of children with cancer. Digital health interventions are important to address many barriers to in-person intervention delivery but are not widely used in pediatric psychosocial cancer care. The COVID-19 pandemic has reinforced the need for flexible, acceptable, and accessible psychosocial digital health interventions. The Electronic Surviving Cancer Competently Intervention Program (eSCCIP) is an innovative digital health intervention for parents and caregivers of children with cancer, delivered through a combination of self-guided web-based content and supplemented by 3 telehealth follow-up sessions with a trained telehealth guide. A Spanish language adaptation of eSCCIP, El Programa Electronico de Intervencion para Superar Cancer Competentemente (eSCCIP-SP), has been developed. The self-guided web-based cores of eSCCIP/eSCCIP-SP are a mix of didactic video content, multifamily video discussion groups featuring parents of children with cancer, and hands-on web-based activities.|caregivers; cultural and linguistic adaptation; digital health; family systems; parents; pediatric cancer; psychosocial intervention; 
37264737|Development of cancer surveillance guidelines in ataxia telangiectasia: A Delphi-based consensus survey of international experts.|Neves, Renata; De Dios Perez, Blanca; Panek, Rafal; Jagani, Sumit; Wilne, Sophie; Bhatt, Jayesh M; Caputi, Caterina; Cirillo, Emilia; Coman, David J; Dückers, Gregor; Gilbert, Donald L; Kay Koenig, Mary; Mansour, Lobna; McDermott, Elizabeth; Pauni, Micaela; Pignata, Claudio; Perlman, Susan L; Porras, Oscar; Betina Porto, Mariela; Schon, Katherine; Soler-Palacin, Pere; Nick Russo, Sam; Takagi, Masatoshi; Tischkowitz, Marc; Wainwright, Claire; Dandapani, Madhumita; Glazebrook, Cristine; Suri, Mohnish; Whitehouse, William P; Dineen, Robert A; |2023 06 02|Ataxia telangiectasia (A-T) is a multiorgan disorder with increased vulnerability to cancer. Despite this increased cancer risk, there are no widely accepted guidelines for cancer surveillance in people affected by A-T. We aimed to understand the current international practice regarding cancer surveillance in A-T and agreed-upon approaches to develop cancer surveillance in A-T.|ataxia telangiectasia; cancer predisposition; cancer surveillance; guidelines; international survey; life-limiting disease; 
37246027|Optimizing Function and Appearance After Head and Neck Reconstruction: Measurement and Intervention.|Graboyes, Evan M; Barbon, Carly E A; |2023 05 26|Approximately 50% of head and neck cancer (HNC) survivors are left with dysphagia as a result of treatment sequele, and 25% of survivors experience clinically significant body image distress (BID). Both dysphagia and BID adversely affect quality of life and should be tracked using validated clinician- and patient-reported outcome measures such as the Performance Status Scale for Head and Neck Cancer, MD Anderson Dysphagia Inventory, and Inventory to Measure and Assess imaGe disturbancE-Head & Neck (IMAGE-HN). Subjective and objective evaluation measures are critical to dysphagia workup and management. Building a renewed image after head and neck cancer treatment, a brief telemedicine-based cognitive behavioral therapy, has become the first evidence-based treatment for BID among HNC survivors.|Body image; Disfigurement; Dysphagia; Head and neck cancer; Mental health; Survivorship; 
37170381|Data envelopment analysis to evaluate the efficiency of tobacco treatment programs in the NCI Moonshot Cancer Center Cessation Initiative.|Pluta, Kathryn; Hohl, Sarah D; D'Angelo, Heather; Ostroff, Jamie S; Shelley, Donna; Asvat, Yasmin; Chen, Li-Shiun; Cummings, K Michael; Dahl, Neely; Day, Andrew T; Fleisher, Linda; Goldstein, Adam O; Hayes, Rashelle; Hitsman, Brian; Buckles, Deborah Hudson; King, Andrea C; Lam, Cho Y; Lenhoff, Katie; Levinson, Arnold H; Minion, Mara; Presant, Cary; Prochaska, Judith J; Shoenbill, Kimberly; Simmons, Vani; Taylor, Kathryn; Tindle, Hilary; Tong, Elisa; White, Justin S; Wiseman, Kara P; Warren, Graham W; Baker, Timothy B; Rolland, Betsy; Fiore, Michael C; Salloum, Ramzi G; |2023 05 11|The Cancer Center Cessation Initiative (C3I) is a National Cancer Institute (NCI) Cancer Moonshot Program that supports NCI-designated cancer centers developing tobacco treatment programs for oncology patients who smoke. C3I-funded centers implement evidence-based programs that offer various smoking cessation treatment components (e.g., counseling, Quitline referrals, access to medications). While evaluation of implementation outcomes in C3I is guided by evaluation of reach and effectiveness (via RE-AIM), little is known about technical efficiency-i.e., how inputs (e.g., program costs, staff time) influence implementation outcomes (e.g., reach, effectiveness). This study demonstrates the application of data envelopment analysis (DEA) as an implementation science tool to evaluate technical efficiency of C3I programs and advance prioritization of implementation resources.|Cancer; Data envelopment analysis; Efficiency; Implementation costs; Implementation science; Program performance; Smoking cessation; Tobacco treatment; 
37118656|Bayesian regularization to predict neuropsychiatric adverse events in smoking cessation with pharmacotherapy.|Truong, Van Thi Thanh; Green, Charles; Pedroza, Claudia; Hwang, Lu-Yu; Rajan, Suja S; Suchting, Robert; Cinciripini, Paul; Tyndale, Rachel F; Lerman, Caryn; |2023 04 29|Research on risk factors for neuropsychiatric adverse events (NAEs) in smoking cessation with pharmacotherapy is scarce. We aimed to identify predictors and develop a prediction model for risk of NAEs in smoking cessation with medications using Bayesian regularization.|Bayesian regularization; Model selection; Neuropsychiatric adverse events; Prediction model; Sleep disturbance; Smoking cessation pharmacotherapy; 
37067700|Twenty years of capacity building across the cancer prevention and control research network.|Wangen, Mary; Escoffery, Cam; Fernandez, Maria E; Friedman, Daniela B; Hannon, Peggy; Ko, Linda K; Maxwell, Annette E; Petagna, Courtney; Risendal, Betsy; Rohweder, Catherine; Leeman, Jennifer; |2023 04 17|To improve population health, community members need capacity (i.e., knowledge, skills, and tools) to select and implement evidence-based interventions (EBIs) to fit the needs of their local settings. Since 2002, the Centers for Disease Control and Prevention has funded the national Cancer Prevention and Control Research Network (CPCRN) to accelerate the implementation of cancer prevention and control EBIs in communities. The CPCRN has developed multiple strategies to build community members' capacity to implement EBIs. This paper describes the history of CPCRN's experience developing and lessons learned through the use of five capacity-building strategies: (1) mini-grant programs, (2) training, (3) online tools, (4) evidence academies, and (5) evaluation support for partners' capacity-building initiatives.|Capacity building; Evaluation; Evidence academies; Implementation practice; Mini grants; Online tools; Training; 
37050880|Lessons learned from conducting the first cancer care delivery trial in the Alliance for Clinical Trials in Oncology (Alliance A191402CD).|Pacyna, Joel E; Dueck, Amylou C; Chang, George J; Chow, Selina; Paskett, Electra D; Kim, Simon; Tilburt, Jon C; |2023 04 12|Testing healthcare delivery interventions in rigorous clinical trials is a critical step in improving patient care, but conducting multisite randomized clinical trials to test the effect of care delivery interventions has unique challenges and requires foresight and planning.|Cluster-randomized design; healthcare delivery research; prostate cancer; shared decision-making; 
37047876|Influence of Provider and Leader Perspectives about Concurrent Tobacco-Use Care during Substance-Use Treatment on Their Tobacco Intervention Provision with Clients: A Mixed-Methods Study.|Britton, Maggie; Martinez Leal, Isabel; Jafry, Midhat Z; Chen, Tzuan A; Rogova, Anastasia; Kyburz, Bryce; Williams, Teresa; Reitzel, Lorraine R; |2023 03 24|People with substance-use disorders have elevated rates of tobacco use compared with the general population, yet rarely receive tobacco-dependence treatment within substance-use treatment settings (SUTS). One barrier to delivering evidence-based interventions in SUTS is providers' misconception that treating tobacco use and non-nicotine substance use concurrently jeopardizes clients' substance-use recovery, although research indicates that it enhances support for recovery and relapse prevention. A total of 86 treatment providers employed in SUTS (i.e., 9 Federally Qualified Health Centers, 16 Local Mental Health Authorities (LMHAs), 6 substance-use treatment programs in LMHAs, and 55 stand-alone substance-use treatment centers) in Texas, USA, answered survey questions about their (1) thoughts about treating tobacco during substance-use treatment, and (2) delivery of the 5A's tobacco-use intervention (Ask, Advise, Assess, Assist, Arrange). Twenty-six providers and leaders were interviewed about attitudes toward tobacco-free workplace policies and tobacco dependence and the relative importance of treating tobacco (vs. other substance-use disorders) at their center. Providers who did not believe tobacco use should be addressed as soon as clients begin treatment (i.e., endorsed responses of after 1 year, it depends on the client, or never) had lower odds of Asking clients about their tobacco use (OR = 0.195), Advising clients to quit smoking (OR = 0.176), and Assessing interest in quitting smoking (OR = 0.322). Qualitative results revealed barriers including beliefs that clients need to smoke to relieve the stress of substance-use recovery, are disinterested in quitting, fears that concurrent treatment would jeopardize substance use, and limited resources; additional training and education resources was the key facilitator theme. The results demonstrate a critical need to eliminate barriers to tobacco-treatment provision for clients in SUTS through education to correct misperceptions, specialized training to equip providers with knowledge and skills, and resources to build center capacity. Integrating evidence-based smoking interventions into routine care is key to support the recovery efforts of clients in SUTS.|concurrent treatment; disadvantaged groups and tobacco-use disorder; mixed methods; provider perceptions; substance-use disorders; 
37021464|Examining readiness for implementing practice changes in federally qualified health centers: A rapid qualitative study.|Dias, Emanuelle M; Walker, Timothy J; Craig, Derek W; Gibson, Robert; Szeszulski, Jacob; Brandt, Heather M; Johnson, Hiluv; Lamont, Andrea; Wandersman, Abraham; Fernandez, Maria E; |2023 04 06|Implementing evidence-based interventions remains slow in federally qualified health centers (FQHCs). The purpose of this study is to qualitatively examine the R = MC2 (Readiness = motivation × innovation specific capacity × general capacity) heuristic subcomponents in the context of implementing general and colorectal cancer screening (CRCS)-related practice changes in FQHCs. We conducted 17 interviews with FQHC employees to examine (1) experiences with successful or unsuccessful practice change efforts, (2) using approaches to promote CRCS, and (3) opinions about R = MC2 subcomponents. We conducted a rapid qualitative analysis to examine the frequency, depth, and spontaneity of subcomponents. Priority, compatibility, observability (motivation), intra- and interorganizational relationships (innovation-specific capacity), and organizational structure and resource utilization (general capacity) emerged as highly relevant. For example, organizational structure was described as related to an organization's open communication during meetings to help with scheduling procedures. The results contribute to understanding organizational readiness in the FQHC setting and can be helpful when identifying and prioritizing barriers and facilitators that affect implementation.|R = MC2; colorectal cancer screening; federally qualified health centers; implementation; innovation; organizational readiness; rapid qualitative analysis; 
37020813|Using Implementation Mapping to increase uptake and use of Salud en Mis Manos: A breast and cervical cancer screening and HPV vaccination intervention for Latinas.|Savas, Lara S; Loomba, Preena; Shegog, Ross; Alaniz, Angelita; Costa, Crystal; Adlparvar, Emily; Allicock, Marlyn A; Chenier, Roshanda; Goetz, Margaret; Markham, Christine M; Fernandez, Maria E; |2023 03 15|Despite CDC recommendations for breast and cervical cancer screening and HPV vaccination, cancer control behaviors are underutilized among low-income Latinas. Salud en Mis Manos (SEMM), adapted from Cultivando La Salud, is a community health worker- (CHW-) delivered evidence-based intervention (EBI), shown to increase breast and cervical cancer screening.|HPV vaccination; Implementation Mapping; cancer prevention; cervical screening; community health workers; health equity; implementation strategy; mammography; 
36925840|Applying Theory to Explain the Influence of Factors External to an Organization on the Implementation of an Evidence-Based Intervention.|Leeman, Jennifer; Wangen, Mary; Kegler, Michelle; Lee, Matthew; O'Leary, Meghan C; Ko, Linda K; Fernández, María E; Birken, Sarah A; |2022 05 26|Despite its widely acknowledged influence on implementation, limited research has been done on how the external environment (i.e., outer setting) determines when organizations adopt and implement new interventions. Determinant frameworks identify several outer setting-level factors such as funding streams, inter-organizational relationships, and peer pressure. However, these frameworks do not explain how or why outer-setting factors influence implementation. To advance research in this area, we argue for the importance of deriving theory-based propositions from organization theory to explain how outer setting factors influence organizations. Drawing on the work of the Organization Theory in Implementation Science (OTIS) project, we identified 20 propositions from five classic organization theories-Complexity Theory, Contingency Theory, Institutional Theory, Resource Dependence Theory, and Transaction Cost Economics. We then applied those propositions to hypothesize relationships among outer setting factors, implementation strategies, and implementation outcomes in five case studies of evidenced-based tobacco control interventions. The five case studies address the implementation of smoke-free policies, community health worker-led tobacco education and cessation programs, 5 A's (Ask, Advise, Assess, Assist, and Arrange), point-of-sale tobacco marketing policy interventions, and quitlines. The case studies illustrate how propositions may be used to guide the selection and testing of implementation strategies. Organization theories provide a menu of propositions that offer guidance for selecting and optimizing high-leverage implementation strategies that target factors at the level of outer setting. Furthermore, these propositions suggest testable hypotheses regarding the mechanisms underlying the influence of outer-setting factors on how and why organizations adopt and implement interventions.|cancer prevention and control; evidence-based interventions; implementation determinants; implementation strategies; organizational theory; 
36925826|Practice change in community health centers: A qualitative study of leadership attributes.|Tektiridis, Jennifer H; Heredia, Natalia I; Morgan, Robert O; Mikhail, Osama I; Risendal, Betsy C; Kegler, Michelle C; Fernandez, Maria E; |2022 09 07|This paper explores leadership attributes important for practice change in community health centers (CHCs) and assesses attributes' fit with the Full-Range Leadership Theory (FRLT).|community health centers; evidence-based practice; full-range leadership theory; leadership; qualitative research and analysis; 
