Paper Title,Authors,Publication Date,Abstract,PubMed ID,DOI,Source,Publication Types,Keywords,MeSH Terms,Related Articles
Small extracellular vesicle-associated miR-6068 promotes aggressive phenotypes of prostate cancer through miR-6068/HIC2/SIRT1 axis,"Gaballah, Mohamed S. A., Ali, Hamdy E. A., Hassan, Zeinab A., Mahgoub, Shahenda, Ali, Hamid, I, Rhim, Johng S., Zerfaoui, Mourad, El Sayed, Khalid A., Stephen, David, Sylvester, Paul W., Abd Elmageed, Zakaria Y.",N/A 2022,No abstract,WOS:000873142900001,No DOI,Web of Science,Article,"Prostate cancer, small extracellular vesicles, miR-6068, functional assays, HIC2",No MeSH terms,No related articles
Evaluation of a 2-1-1 Telephone Navigation Program to Increase Cancer Control Behaviors: Results From a Randomized Controlled Trial,"Fernandez, Maria E., Savas, Lara S., Atkinson, John S., Ricks, Katherine Ball, Ibekwe, Lynn N., Jackson, Inimfon, Castle, Philip E., Jobe, David, Vernon, Sally W.",SEP 2022,No abstract,WOS:000797554000001,10.1177/08901171211041276,Web of Science,Article,"cancer prevention and screening, cancer disparities, HPV vaccination, patient navigation, health promotion, tobacco control, population health, low income, racial minority groups, social support",No MeSH terms,No related articles
A 1D-0D-3D coupled model for simulating blood flow and transport processes in breast tissue,"Fritz, Marvin, Koeppl, Tobias, Oden, John Tinsley, Wagner, Andreas, Wohlmuth, Barbara, Wu, Chengyue",JUL 2022,No abstract,WOS:000799714400001,10.1002/cnm.3612,Web of Science,Article,"discontinuous Galerkin method, mathematical physiology, mixed-dimensional model, multiscale blood flow models, porous media, transport processes",No MeSH terms,No related articles
Comparison of Narrative Video and Flipchart Presentation to Promote Cervical Cancer Screening Among Latinas Along the Border,"Calderon-Mora, Jessica, Alomari, Adam, Shokar, Navkiran",OCT 2023,No abstract,WOS:000753017000001,10.1177/10901981221074918,Web of Science,Article,"cervical cancer, Latinas, screening, Hispanics, educational video",No MeSH terms,No related articles
What About <i>Promotores</i>? <i>Promotores'</i> Psychosocial Determinants That Influenced the Delivery of a Cervical Cancer Education Intervention to Hispanics,"St John, Julie, Reininger, Belinda, Balcazar, Hector, Valerio-Shewmaker, Melissa A., Beaudoin, Christopher E.",SEP 10 2021,No abstract,WOS:000717379500001,10.3389/fpubh.2021.689616,Web of Science,Article,"training, Hispanics, cancer education intervention, promotores, community health worker, psychosocial determinants",No MeSH terms,No related articles
"Cancer statistics for the US Hispanic/Latino population, 2021","Miller, Kimberly D., Ortiz, Ana P., Pinheiro, Paulo S., Bandi, Priti, Minihan, Adair, Fuchs, Hannah E., Tyson, Dinorah Martinez, Tortolero-Luna, Guillermo, Fedewa, Stacey A., Jemal, Ahmedin M., Siegel, Rebecca L.",NOV 2021,No abstract,WOS:000697373200001,10.3322/caac.21695,Web of Science,Article,"Hispanics, Latinos, statistics, surveillance",No MeSH terms,No related articles
"Mammography Screening Beliefs and Knowledge among a Multi-ethnic Sample of Low-income, Uninsured Women","Akinlotan, Marvellous A., Bolin, Jane N., Weston, Cynthia, Ojinnaka, Chinedum, Helduser, Janet, Lichorad, Anna",AUG 2021,No abstract,WOS:000686341700038,No DOI,Web of Science,Article,"Cancer and oncology, cross-cultural comparison, ethnicity, mammography screening, race",No MeSH terms,No related articles
Lipocalin 2 promotes inflammatory breast cancer tumorigenesis and skin invasion,"Villodre, Emilly S., Hu, Xiaoding, Larson, Richard, Finetti, Pascal, Gomez, Kristen, Balema, Wintana, Stecklein, Shane R., Santiago-Sanchez, Ginette, Krishnamurthy, Savitri, Song, Juhee, Su, Xiaoping, Ueno, Naoto T., Tripathy, Debu, Van Laere, Steven, Bertucci, Francois, Vivas-Mejia, Pablo, Woodward, Wendy A., Debeb, Bisrat G.",OCT 2021,No abstract,WOS:000689699100001,10.1002/1878-0261.13074,Web of Science,Article,"brain metastasis, inflammatory breast cancer, LCN2, lipocalin 2, skin invasion",No MeSH terms,No related articles
Biomarker analyses in the phase III ASCENT study of sacituzumab govitecan versus chemotherapy in patients with metastatic triple-negative breast cancer,"Bardia, A., Tolaney, S. M., Punie, K., Loirat, D., Oliveira, M., Kalinsky, K., Zelnak, A., Aftimos, P., Dalenc, F., Sardesai, S., Hamilton, E., Sharma, P., Recalde, S., Gil, E. C., Traina, T., O'Shaughnessy, J., Cortes, J., Tsai, M., Vahdat, L., Dieras, V, Carey, L. A., Rugo, H. S., Goldenberg, D. M., Hong, Q., Olivo, M., Itri, L. M., Hurvitz, S. A.",SEP 2021,No abstract,WOS:000687824100010,10.1016/j.annonc.2021.06.002,Web of Science,Article,"triple-negative breast cancer, trophoblast cell-surface antigen 2, BRCA",No MeSH terms,No related articles
Facilitated cascade testing (FaCT): a randomized controlled trial,"Nitecki, Roni, Moss, Haley A., Watson, Catherine H., Urbauer, Diana L., Melamed, Alexander, Lu, Karen H., Lipkin, Steven M., Offit, Kenneth, Rauh-Hain, Jose Alejandro, Frey, Melissa K.",MAY 2021,No abstract,WOS:000650327200017,10.1136/ijgc-2020-002118,Web of Science,Article,"ovarian cancer, BRCA1 protein, BRCA2 protein",No MeSH terms,No related articles
Patient Diversity in Breast Imaging: Barriers and Potential Solutions,"Patel, Miral M., Parikh, Jay R.",JAN-FEB 2021,No abstract,WOS:000638140600013,10.1093/jbi/wbaa092,Web of Science,Article,"diversity, disparity, screening, breast imaging, breast cancer, radiologist",No MeSH terms,No related articles
"A lay health worker intervention to improve breast and cervical cancer screening among Latinas in El Paso, Texas: A randomized control trial","Savas, Lara S., Atkinson, John S., Figueroa-Solis, Erika, Valdes, Adriana, Morales, Pat, Castle, Philip E., Fernandez, Maria E.",APR 2021,No abstract,WOS:000632693900003,10.1016/j.ypmed.2021.106446,Web of Science,Article,"Intervention, Breast and cervical cancer screening, Lay health worker, Community-based research, Latinas",No MeSH terms,No related articles
Effects of Physical Activity and Counselling Interventions on Health Outcomes among Working Women in Shanghai,"Wang, Hongying, Zhang, Tao, Lu, Miaomiao, Zeng, YuXuan, Xiao, Yi, Ren, Xiaoling, Zhang, Pei",MAR 2021,No abstract,WOS:000613352600011,No DOI,Web of Science,Article,"Stress, burnout, quality of life, working women, Shanghai",No MeSH terms,No related articles
Promoting Hispanic Immigrant Health via Community Health Workers and Motivational Interviewing,"Portillo, Erin M., Vasquez, Denise, Brown, Louis D.",OCT 2020,No abstract,WOS:000507039300001,10.1177/0272684X19896731,Web of Science,Article,"community health workers, motivational interviewing, Hispanic, immigrant health, health disparities",No MeSH terms,No related articles
Using Implementation Mapping to Develop Implementation Strategies for the Delivery of a Cancer Prevention and Control Phone Navigation Program: A Collaboration With 2-1-1,"Ibekwe, Lynn N., Walker, Timothy J., Ebunlomo, Ebun, Ricks, Katharine Ball, Prasad, Sapna, Savas, Lara S., Fernandez, Maria E.",JAN 2022,No abstract,WOS:000577444400001,10.1177/1524839920957979,Web of Science,Article,"cancer prevention and control, health education, health promotion, program planning and evaluation, training, quality assurance, quality improvement, tobacco prevention and control, community-based participatory research, health research, partnerships, coalitions, behavior change",No MeSH terms,No related articles
A systematic review and meta-analysis of effects of psychosocial interventions on spiritual well-being in adults with cancer,"McLouth, Laurie E., Ford, C. Graham, Pustejovsky, James E., Park, Crystal L., Sherman, Allen C., Trevino, Kelly, Salsman, John M.",FEB 2021,No abstract,WOS:000577612600001,10.1002/pon.5562,Web of Science,Review,"cancer, interventions, meta-analysis, psycho-oncology, randomized controlled trials, spiritual well-being",No MeSH terms,No related articles
Suc Khoe la Hanh Phuc (Health is Happiness): promoting mammography and pap test adherence among Vietnamese nail salon workers,"Fernandez-Esquer, Maria Eugenia, Nguyen, Frances M., Atkinson, John S., Le, Yen-Chi, Chen, Shane, Huynh, To Nhu, Schick, Vanessa",NOV 25 2020,No abstract,WOS:000573325900001,10.1080/03630242.2020.1811834,Web of Science,Article,"Breast cancer prevention, cancer screening, cervical cancer prevention, Vietnamese women, vulnerable populations",No MeSH terms,No related articles
AMindfulness-BasedIntervention as a Supportive Care Strategy for Patients with MetastaticNon-SmallCell Lung Cancer and Their Spouses: Results of aThree-ArmPilot Randomized Controlled Trial,"Milbury, Kathrin, Li, Yisheng, Durrani, Sania, Liao, Zhongxing, Tsao, Anne S., Carmack, Cindy, Cohen, Lorenzo, Bruera, Eduardo",NOV 2020,No abstract,WOS:000559926200001,10.1634/theoncologist.2020-0125,Web of Science,Article,"Metastatic non-small cell lung cancer, Psychosocial care, Dyadic intervention, Caregivers, Psychospiritual outcomes",No MeSH terms,No related articles
"Uptake of cancer screenings among a multiethnic refugee population in North Texas, 2014-2018","Milenkov, Amy Raines, Felini, Martha, Baker, Eva, Acharya, Rushil, Diese, Elvis Longanga, Onsa, Sara, Fernando, Shane, Chor, Holy",MAR 30 2020,No abstract,WOS:000535936400011,10.1371/journal.pone.0230675,Web of Science,Article,No keywords,No MeSH terms,No related articles
High-Frequency Ultrasound Analysis in Both Experimental and Computation Level to Understand the Microstructural Change in Soft Tissues,"Ladani, Leila, Paul, Koushik, Stromer, Jeremy",N/A 2019,No abstract,WOS:000527014500009,10.1007/978-3-030-06143-2_9,Web of Science,"Article, Book Chapter","High-frequency ultrasound, Pitch-catch, Peak density, Gelatin phantom, Finite element analysis",No MeSH terms,No related articles
Cancer Patients' and Survivors' Perceptions of the Calm App: Cross-Sectional Descriptive Study,"Huberty, Jennifer, Puzia, Megan, Eckert, Ryan, Larkey, Linda",FEB 10 2020,No abstract,WOS:000519786900001,10.2196/16926,Web of Science,Article,"cancer, cancer survivors, mindfulness, meditation, consumer behavior, mobile apps, health, mental health",No MeSH terms,No related articles
Outcomes of a Multicomponent Culturally Tailored Cervical Cancer Screening Intervention Among Underserved Hispanic Women (De Casa en Casa),"Shokar, Navkiran K., Calderon-Mora, Jessica, Molokwu, Jennifer, Byrd, Theresa, Alomari, Adam, Mallawaarachchi, Indika, Dwivedi, Alok",JAN 2021,No abstract,WOS:000506744000001,10.1177/1524839919893309,Web of Science,Article,"uterine cervical neoplasms, mass screening, early detection of cancer, His-panic Americans, health care disparities, health promotion, population health, Papanicolaou test",No MeSH terms,No related articles
"Assessing the effect of patient navigator assistance for psychosocial support services on health-related quality of life in a randomized clinical trial in Latino breast, prostate, and colorectal cancer survivors","Ramirez, Amelie G., Choi, Byeong Yeob, Munoz, Edgar, Perez, Arely, Gallion, Kipling J., Moreno, Patricia I., Penedo, Frank J.",MAR 1 2020,No abstract,WOS:000497296700001,10.1002/cncr.32626,Web of Science,Article,"breast cancer, colorectal cancer, health-related quality of life, Hispanic, Latino, patient navigation, promotores, prostate cancer, survivorship",No MeSH terms,No related articles
Effects of psychosocial interventions on meaning and purpose in adults with cancer: A systematic review and meta-analysis,"Park, Crystal L., Pustejovsky, James E., Trevino, Kelly, Sherman, Allen C., Esposito, Craig, Berendsen, Mark, Salsman, John M.",JUL 15 2019,No abstract,WOS:000476763700009,10.1002/cncr.32078,Web of Science,Review,"cancer, interventions, meaning, meta-analysis, purpose",No MeSH terms,No related articles
Improving quality of life among latino cancer survivors: Design of a randomized trial of patient navigation,"Ramirez, Amelie G., Gallion, Kipling J., Perez, Arely, Munoz, Edgar, Parma, Dorothy Long, Moreno, Patricia I., Penedo, Frank J.",JAN 2019,No abstract,WOS:000456756800006,10.1016/j.cct.2018.11.002,Web of Science,Article,"Health disparities, Survivorship, Community-based, Psychosocial",No MeSH terms,No related articles
A pilot study to evaluate home-based screening for the common non-communicable diseases by a dedicated cadre of community health workers in a rural setting in India,"Basu, Partha, Mahajan, Manoj, Patira, Nilesh, Prasad, Sangita, Mogri, Sushma, Muwonge, Richard, Lucas, Eric, Sankaranarayanan, Rengaswamy, Iyer, Swami, Naik, Navami, Jain, Kirti",JAN 3 2019,No abstract,WOS:000454916500010,10.1186/s12889-018-6350-4,Web of Science,Article,"Non-communicable disease, screening, hypertension, diabetes, cancer, self-collection, Human Papillomavirus test",No MeSH terms,No related articles
Improving adherence to endocrine hormonal therapy among breast cancer patients: Study protocol for a randomized controlled trial,"Chalela, P., Munoz, E., Inupakutika, D., Kaghyan, S., Akopian, D., Kaklamani, V, Lathrop, K., Ramirez, A.",DEC 2018,No abstract,WOS:000451159000017,10.1016/j.conctc.2018.10.001,Web of Science,Article,"Breast cancer, Endocrine hormone therapy, Adherence, Smartphone app, Patient navigation",No MeSH terms,No related articles
